time,signal
0.5882352941,-0.0016385
0.5922368948,0.0053349
0.5962384954,0.0036166
0.600240096,-0.0036394
0.6042416967,-0.0055743
0.6082432973,0.00028107
0.612244898,0.0059642
0.6162464986,0.0027035
0.6202480992,-0.0030708
0.6242496999,-0.0016108
0.6282513005,0.0015973
0.6322529012,0.0019947
0.6362545018,0.0025924
0.6402561024,0.00048954
0.6442577031,-0.0048173
0.6482593037,-0.0055047
0.6522609044,-0.00059797
0.656262505,0.0028038
0.6602641056,0.0013797
0.6642657063,-0.0013017
0.6682673069,-8.78E-05
0.6722689076,0.003556
0.6762705082,0.0038708
0.6802721088,0.00063531
0.6842737095,-0.0017069
0.6882753101,-0.0016558
0.6922769108,-0.0016921
0.6962785114,-0.0028754
0.700280112,-0.0026553
0.7042817127,0.0012585
0.7082833133,0.0049878
0.712284914,0.002963
0.7162865146,-0.00069249
0.7202881152,-0.0010721
0.7242897159,-0.0022074
0.7282913165,-0.0037646
0.7322929172,-0.00032737
0.7362945178,0.0042057
0.7402961184,0.0023941
0.7442977191,-0.0023389
0.7482993197,-0.0023243
0.7523009204,0.00014197
0.756302521,0.00025064
0.7603041216,0.0011959
0.7643057223,0.0030651
0.7683073229,0.00095705
0.7723089236,-0.0020656
0.7763105242,-0.0022108
0.7803121248,-0.0023965
0.7843137255,-0.00067339
0.7883153261,0.0051474
0.7923169268,0.0059349
0.7963185274,-0.0015213
0.8003201281,-0.0051777
0.8043217287,-0.0015398
0.8083233293,-0.00012912
0.81232493,-0.002069
0.8163265306,-0.00091893
0.8203281313,0.0023541
0.8243297319,0.001234
0.8283313325,-0.0023172
0.8323329332,0.00011726
0.8363345338,0.0039408
0.8403361345,0.00036308
0.8443377351,-0.0030181
0.8483393357,0.00068252
0.8523409364,0.0038013
0.856342537,0.0015239
0.8603441377,-0.00049559
0.8643457383,0.00065674
0.8683473389,9.87E-05
0.8723489396,-0.0049902
0.8763505402,-0.010273
0.8803521409,-0.0058575
0.8843537415,0.0094229
0.8883553421,0.015111
0.8923569428,0.0027621
0.8963585434,-0.0057146
0.9003601441,-0.0022034
0.9043617447,0.00014683
0.9083633453,-0.0017368
0.912364946,-0.0036481
0.9163665466,-0.0031332
0.9203681473,0.00030781
0.9243697479,0.0020381
0.9283713485,0.00047126
0.9323729492,0.00029666
0.9363745498,0.0013133
0.9403761505,0.0010118
0.9443777511,0.0024016
0.9483793517,0.0041933
0.9523809524,0.00031603
0.956382553,-0.0049583
0.9603841537,-0.0033825
0.9643857543,0.00048158
0.9683873549,-0.00021289
0.9723889556,-0.00063964
0.9763905562,0.001366
0.9803921569,5.91E-05
0.9843937575,-0.0025626
0.9883953581,-0.0011224
0.9923969588,0.0012169
0.9963985594,0.00026982
1.00040016,-0.00036952
1.004401761,0.0021738
